epoch,grad_norm,step,train_loss,train_softmax_entropy,train_target_entropy,train_unseen_states,train_vad_loss,train_vap_loss,val_loss,val_softmax_entropy,val_target_entropy,val_unseen_states,val_vap_loss
5,,947,,,,,,,2.8363072872161865,3.990199089050293,5.56056022644043,2.6626086235046387,2.8363072872161865
6,0.16027554869651794,949,2.9001123905181885,3.888995885848999,5.651650905609131,3.0,0.0,2.9001123905181885,,,,,
6,0.12711699306964874,999,2.6148810386657715,3.8307809829711914,5.3270769119262695,7.0,0.0,2.6148810386657715,,,,,
6,0.11570672690868378,1049,2.861797332763672,4.047211647033691,5.671248435974121,2.0,0.0,2.861797332763672,,,,,
6,0.1670638471841812,1099,2.466285228729248,3.7055656909942627,5.05357551574707,5.0,0.0,2.466285228729248,,,,,
6,,1105,,,,,,,2.824409008026123,3.9900338649749756,5.56056022644043,2.6626086235046387,2.824409008026123
7,0.16008949279785156,1149,2.7855730056762695,3.912780523300171,5.571108818054199,4.0,0.0,2.7855730056762695,,,,,
7,0.11424127221107483,1199,2.8685994148254395,4.0214667320251465,5.67816162109375,6.0,0.0,2.8685994148254395,,,,,
7,0.09439307451248169,1249,2.6613359451293945,3.8232059478759766,5.3327436447143555,8.0,0.0,2.6613359451293945,,,,,
7,,1263,,,,,,,2.8153228759765625,3.988356351852417,5.56056022644043,2.6626086235046387,2.8153228759765625
8,0.12457004189491272,1299,2.694438934326172,3.8873190879821777,5.442724227905273,1.0,0.0,2.694438934326172,,,,,
8,0.14640311896800995,1349,2.726046085357666,3.9166975021362305,5.474637985229492,5.0,0.0,2.726046085357666,,,,,
8,0.11820123344659805,1399,2.5434625148773193,3.7430269718170166,5.191125869750977,9.0,0.0,2.5434625148773193,,,,,
8,,1421,,,,,,,2.80815052986145,3.9860904216766357,5.56056022644043,2.6626086235046387,2.80815052986145
9,0.1292889416217804,1449,2.822183609008789,3.960920810699463,5.4823102951049805,4.0,0.0,2.822183609008789,,,,,
9,0.1746811866760254,1499,2.8660011291503906,4.006221294403076,5.693087577819824,6.0,0.0,2.8660011291503906,,,,,
9,0.1709425151348114,1549,2.8185360431671143,3.9858338832855225,5.594605445861816,4.0,0.0,2.8185360431671143,,,,,
9,,1579,,,,,,,2.80234956741333,3.9836301803588867,5.56056022644043,2.6626086235046387,2.80234956741333
10,0.09089586138725281,1599,2.742316484451294,3.8898892402648926,5.54083251953125,4.0,0.0,2.742316484451294,,,,,
10,0.10035178810358047,1649,2.6483521461486816,3.8444912433624268,5.370613098144531,4.0,0.0,2.6483521461486816,,,,,
10,0.1252589374780655,1699,2.7967004776000977,4.040827751159668,5.52405309677124,2.0,0.0,2.7967004776000977,,,,,
10,,1737,,,,,,,2.7975728511810303,3.981003761291504,5.56056022644043,2.6626086235046387,2.7975728511810303
11,0.15957011282444,1749,2.8225739002227783,3.9207136631011963,5.620847702026367,0.0,0.0,2.8225739002227783,,,,,
11,0.11044999212026596,1799,2.6985981464385986,3.8475494384765625,5.5060930252075195,0.0,0.0,2.6985981464385986,,,,,
11,0.14363166689872742,1849,2.93475079536438,4.121384143829346,5.800398826599121,0.0,0.0,2.93475079536438,,,,,
11,,1895,,,,,,,2.7935776710510254,3.9784226417541504,5.56056022644043,2.6626086235046387,2.7935776710510254
12,0.09421996027231216,1899,2.9121687412261963,4.115649700164795,5.723409175872803,2.0,0.0,2.9121687412261963,,,,,
12,0.13284581899642944,1949,2.630688190460205,3.739920139312744,5.4002685546875,4.0,0.0,2.630688190460205,,,,,
12,0.0917263850569725,1999,2.7608299255371094,4.035170555114746,5.514856338500977,7.0,0.0,2.7608299255371094,,,,,
